start,end,event
1829,1830,The introduction of censorship of all printed documents prior to publication
1850,1855,Partial ban on publishing on other thing than economy and religion in the Finnish language
1856,1860,Relaxing of censorship
1882,1883,Increased powers of Governor-General to control newspapers
1898,1899,Bobrikov as Governor-General
1900,1901,Governor-General allowed to deny ads 
1904,1905,Ban on single-issue sales and Borbrikov murdered 
1905,1906,Freedom of print introduced 
1917,1918,Declaration of independence and civil war
